0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/js/addorganizationDetailsController.js HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/js/logincontroller.js HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/js/addsoftwareController.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/js/ng-app.js HTTP/1.1" 200 10841
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/js/lib/angular.min1.3.7.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/views/assetDetails.html HTTP/1.1" 200 6131
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/views/headermenu.html HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/tpl/app-kit-module.html HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSServices//assetdetails/list HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSServices//assetmodel/list HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/views/leftpanel.html HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSServices//assetstate/list HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSClient/assets/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [07/Feb/2018:20:20:06 -0500] "GET /AMSServices//assetdetails/list HTTP/1.1" 200 1768
